Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
655472,361356,10205.4,1028,583.17865,0.018310606,350.54459,12.105645,65.816032,2.8109381,526.70947,632.63666,14341.013,302671.44
655473,361356,10206,954,566.33862,0.020848913,346.80002,11.986409,53.464199,3.0322278,476.69006,584.25348,12286.587,239084.28
655477,361356,10208.4,839,551.92554,0.016098689,334.26709,14.098898,53.843239,1.5316464,553.70081,656.37183,10607.017,201742.2
655478,361356,10209,847,562.73138,0.019547245,332.83621,16.252043,64.64312,1.3710625,499.0307,601.46826,12444.54,309353.75
655479,361356,10209.6,646,401.52802,0.032815747,316.58408,12.478003,50.643879,1.372472,307.29758,392.12244,6937.3633,108961.92
655480,361356,10210.2,712,447.21384,0.031660013,326.76447,13.815685,51.816429,1.3877102,334.4473,421.31509,9465.5518,190080.72
655481,361356,10210.8,530,370.15079,0.033701107,312.38925,14.281305,52.618439,1.3714637,296.13651,371.51144,6171.0649,113468.04
655482,361356,10211.4,454,252.38643,0.082957231,288.09164,9.8766232,45.148727,1.3552171,128.5882,195.52882,4777.0547,70806.961
655483,361356,10212,397,213.15202,0.14088057,276.30588,8.8826828,25.554905,1.3389704,77.083,137.88725,4042.5393,56670.121
655484,361356,10212.6,384,214.64061,0.050007377,280.65128,11.413545,69.955994,1.3227239,173.45432,232.24364,4907.6177,121008.24
655485,361356,10213.2,330,187.41141,0.1166254,271.45334,9.3664169,26.64764,1.3064773,85.02359,142.10402,3401.5039,50380.922
655486,361356,10213.8,310,177.39378,0.12642789,269.18396,9.3740168,24.973606,1.2902306,77.196526,132.78613,3151.9648,46573.922
655487,361356,10214.4,295,175.26596,0.1173598,268.87323,9.3691778,25.571476,1.2739841,80.346893,136.99164,2984.2217,44377.922
655491,361356,10216.8,62,43.676048,0.20133972,17.537607,4.4715686,15.215334,0.030345371,25.564962,52.210983,413.37103,3687.1201
655492,361356,10217.4,161,91.824181,0.13592216,302.52438,2.9415834,16.926365,0.63019401,47.180408,92.137909,1038.6182,8138.8799
720982,361356.6,10189.8,25,9.4191294,0.19608581,1.6988124,4.5450926,10.210753,0.025155308,15.833891,24.568985,120.34834,817.91998
720983,361356.6,10190.4,26,10.00106,0.23160172,351.48615,4.8855352,10.30383,0.030488523,11.87477,23.294699,119.50036,748.44
720991,361356.6,10195.2,892,552.59741,0.027316833,36.215923,14.796973,65.4944,1.9771247,413.14236,504.18994,14374.504,331712.28
720992,361356.6,10195.8,921,595.21167,0.01973841,28.786161,16.02035,65.342354,2.5631666,521.36414,615.58014,14998.595,360937.44
720993,361356.6,10196.4,906,595.02698,0.018199045,25.757641,15.132043,65.130905,3.0002239,542.04956,640.98663,13775.913,302942.16
720994,361356.6,10197,934,598.9162,0.022933193,22.695297,14.551926,64.912109,3.0220318,472.44269,572.86951,14493.014,336342.59
720995,361356.6,10197.6,991,596.68823,0.028521242,21.88685,13.504496,57.189175,3.0438397,410.64136,512.73676,16425.104,420340.69
721000,361356.6,10200.6,1011,580.69281,0.025418969,17.306561,11.645153,64.642517,3.1528795,429.48477,535.79565,14203.97,299544.47
